sample	sex_karyotype
E_S100F10000_hf0.001	XX
E_S100F10000_hf0.01	XX
E_S100F10000_hf0.10	XX
E_S100F10000_hf0.50	XX
E_S100F10000_hf0.95	XX
E_S100F10000_hf1	XX
E_S100F1000_hf0.001	XX
E_S100F1000_hf0.01	XX
E_S100F1000_hf0.10	XX
E_S100F1000_hf0.50	XX
E_S100F1000_hf0.95	XX
E_S100F1000_hf1	XX
E_S100F150_hf0.001	uncertain
E_S100F150_hf0.01	uncertain
E_S100F150_hf0.10	uncertain
E_S100F150_hf0.50	uncertain
E_S100F150_hf0.95	uncertain
E_S100F150_hf1	uncertain
E_S100F250_hf0.001	XX
E_S100F250_hf0.01	XX
E_S100F250_hf0.10	XX
E_S100F250_hf0.50	XX
E_S100F250_hf0.95	XX
E_S100F250_hf1	XX
E_S100F350_hf0.001	XX
E_S100F350_hf0.01	XX
E_S100F350_hf0.10	XX
E_S100F350_hf0.50	XX
E_S100F350_hf0.95	XX
E_S100F350_hf1	XX
E_S100F450_hf0.001	XX
E_S100F450_hf0.01	XX
E_S100F450_hf0.10	XX
E_S100F450_hf0.50	XX
E_S100F450_hf0.95	XX
E_S100F450_hf1	XX
E_S100M10000_hf0.001	XY
E_S100M10000_hf0.01	XY
E_S100M10000_hf0.10	XY
E_S100M10000_hf0.50	XY
E_S100M10000_hf0.95	XY
E_S100M10000_hf1	XY
E_S100M1000_hf0.001	XY
E_S100M1000_hf0.01	XY
E_S100M1000_hf0.10	XY
E_S100M1000_hf0.50	XY
E_S100M1000_hf0.95	XY
E_S100M1000_hf1	XY
E_S100M150_hf0.001	XY
E_S100M150_hf0.01	XY
E_S100M150_hf0.10	XY
E_S100M150_hf0.50	XY
E_S100M150_hf0.95	XY
E_S100M150_hf1	XY
E_S100M250_hf0.001	uncertain
E_S100M250_hf0.01	uncertain
E_S100M250_hf0.10	uncertain
E_S100M250_hf0.50	uncertain
E_S100M250_hf0.95	uncertain
E_S100M250_hf1	uncertain
E_S100M350_hf0.001	XY
E_S100M350_hf0.01	XY
E_S100M350_hf0.10	XY
E_S100M350_hf0.50	XY
E_S100M350_hf0.95	XY
E_S100M350_hf1	XY
E_S100M450_hf0.001	XY
E_S100M450_hf0.01	XY
E_S100M450_hf0.10	XY
E_S100M450_hf0.50	XY
E_S100M450_hf0.95	XY
E_S100M450_hf1	XY
E_S10F10000_hf0.001	XX
E_S10F10000_hf0.01	XX
E_S10F10000_hf0.10	XX
E_S10F10000_hf0.50	XX
E_S10F10000_hf0.95	XX
E_S10F10000_hf1	XX
E_S10F1000_hf0.001	XX
E_S10F1000_hf0.01	XX
E_S10F1000_hf0.10	XX
E_S10F1000_hf0.50	XX
E_S10F1000_hf0.95	XX
E_S10F1000_hf1	XX
E_S10F150_hf0.001	uncertain
E_S10F150_hf0.01	uncertain
E_S10F150_hf0.10	uncertain
E_S10F150_hf0.50	uncertain
E_S10F150_hf0.95	uncertain
E_S10F150_hf1	uncertain
E_S10F250_hf0.001	XX
E_S10F250_hf0.01	XX
E_S10F250_hf0.10	XX
E_S10F250_hf0.50	XX
E_S10F250_hf0.95	XX
E_S10F250_hf1	XX
E_S10F350_hf0.001	uncertain
E_S10F350_hf0.01	uncertain
E_S10F350_hf0.10	uncertain
E_S10F350_hf0.50	uncertain
E_S10F350_hf0.95	uncertain
E_S10F350_hf1	uncertain
E_S10F450_hf0.001	XX
E_S10F450_hf0.01	XX
E_S10F450_hf0.10	XX
E_S10F450_hf0.50	XX
E_S10F450_hf0.95	XX
E_S10F450_hf1	XX
E_S10M10000_hf0.001	XY
E_S10M10000_hf0.01	XY
E_S10M10000_hf0.10	XY
E_S10M10000_hf0.50	XY
E_S10M10000_hf0.95	XY
E_S10M10000_hf1	XY
E_S10M1000_hf0.001	XY
E_S10M1000_hf0.01	XY
E_S10M1000_hf0.10	XY
E_S10M1000_hf0.50	XY
E_S10M1000_hf0.95	XY
E_S10M1000_hf1	XY
E_S10M150_hf0.001	uncertain
E_S10M150_hf0.01	uncertain
E_S10M150_hf0.10	uncertain
E_S10M150_hf0.50	uncertain
E_S10M150_hf0.95	uncertain
E_S10M150_hf1	uncertain
E_S10M250_hf0.001	uncertain
E_S10M250_hf0.01	uncertain
E_S10M250_hf0.10	uncertain
E_S10M250_hf0.50	uncertain
