sample	sex_karyotype
S1F200	uncertain
S1F250	XX
S1F300	uncertain
S1F350	XX
S1F400	XX
S1F450	XX
S1F1000	XX
S1F5000	XX
S1F10000	XX
S1F100000	XX
S1F1000000	XX
S1M150	XY
S1M200	uncertain
S1M250	XY
S1M300	XY
S1M350	uncertain
S1M400	uncertain
S1M450	XY
S1M1000	XY
S1M5000	XY
S1M10000	XY
S1M100000	XY
S1M1000000	XY
S2F150	XX
S2F200	uncertain
S2F250	XX
S2F300	uncertain
S2F350	uncertain
S2F400	uncertain
S2F450	XX
S2F1000	XX
S2F5000	XX
S2F10000	XX
S2F100000	XX
S2F1000000	XX
S2M150	uncertain
S2M200	uncertain
S2M250	uncertain
S2M300	XY
S2M350	XY
S2M400	uncertain
S2M450	XY
S2M1000	XY
S2M5000	XY
S2M10000	XY
S2M100000	XY
S2M1000000	XY
S3F150	XX
S3F200	uncertain
S3F250	XX
S3F300	XX
S3F350	uncertain
S3F400	uncertain
S3F450	XX
S3F1000	XX
S3F5000	XX
S3F10000	XX
S3F100000	XX
S3F1000000	XX
S3M150	uncertain
S3M200	uncertain
S3M250	XY
S3M300	XX
S3M350	XY
S3M400	XY
S3M450	XY
S3M1000	XY
S3M5000	XY
S3M10000	XY
S3M100000	XY
S3M1000000	XY
S4F150	uncertain
S4F200	XX
S4F250	uncertain
S4F300	XX
S4F350	uncertain
S4F400	XX
S4F450	XX
S4F1000	XX
S4F5000	XX
S4F10000	XX
S4F100000	XX
S4F1000000	XX
S4M150	XY
S4M200	XY
S4M250	XY
S4M300	uncertain
S4M350	XY
S4M400	uncertain
S4M450	XY
S4M1000	XY
S4M5000	XY
S4M10000	XY
S4M100000	XY
S4M1000000	XY
S5F150	uncertain
S5F200	uncertain
S5F250	XX
S5F300	XX
S5F350	XX
S5F400	XX
S5F450	XX
S5F1000	XX
S5F5000	XX
S5F10000	XX
S5F100000	XX
S5F1000000	XX
S5M150	uncertain
S5M200	uncertain
S5M250	XY
S5M300	XY
S5M350	XY
S5M400	XY
S5M450	XY
S5M1000	XY
S5M5000	XY
S5M10000	XY
S5M100000	XY
S5M1000000	XY
S6F150	uncertain
S6F200	uncertain
S6F250	XX
S6F300	uncertain
S6F350	XX
S6F400	XX
S6F450	XX
S6F1000	XX
S6F5000	XX
S6F10000	XX
S6F100000	XX
S6F1000000	XX
S6M150	XY
S6M200	XY
S6M250	uncertain
S6M300	XY
S6M350	XY
S6M400	XY
S6M450	XY
S6M1000	XY
S6M5000	XY
S6M10000	XY
S6M100000	XY
S6M1000000	XY
S7F150	uncertain
S7F200	XX
S7F250	XX
S7F300	uncertain
S7F350	XX
S7F400	XX
S7F450	XX
S7F1000	XX
S7F5000	XX
S7F10000	XX
S7F100000	XX
S7F1000000	XX
S7M150	XY
S7M200	XY
S7M250	uncertain
S7M300	uncertain
S7M350	uncertain
S7M400	XY
S7M450	XY
S7M1000	XY
S7M5000	XY
S7M10000	XY
S7M100000	XY
S7M1000000	XY
S8F150	XX
S8F200	uncertain
S8F250	XX
S8F300	XX
S8F350	XX
S8F400	uncertain
S8F450	uncertain
S8F1000	XX
S8F5000	XX
S8F10000	XX
S8F100000	XX
S8F1000000	XX
S8M150	uncertain
S8M200	uncertain
S8M250	XY
S8M300	XY
S8M350	uncertain
S8M400	XY
S8M450	XY
S8M1000	XY
S8M5000	XY
S8M10000	XY
S8M100000	XY
S8M1000000	XY
S9F150	uncertain
S9F200	uncertain
S9F250	XX
S9F300	XX
S9F350	XX
S9F400	uncertain
S9F450	XX
S9F1000	uncertain
S9F5000	XX
S9F10000	XX
S9F100000	XX
