Run	sex_karyotype
SRR041655	XX
SRR041662	XX
SRR059328	XX
SRR059329	XY
SRR059334	XX
SRR059335	XY
SRR059336	XX
SRR059337	XX
SRR059340	XX
SRR059341	XY
SRR059348	XY
SRR059364	XY
SRR059365	XX
SRR059368	XY
SRR059370	XY
SRR059371	XY
SRR059376	XY
SRR059377	XY
SRR059386	XY
SRR059387	XY
SRR059398	XXY
SRR059400	XX
SRR059401	XX
SRR059403	XX
SRR059404	XX
SRR059405	XX
SRR059408	XX
SRR059409	XX
SRR059410	XY
SRR059411	XY
SRR059428	XY
SRR059429	XY
SRR059432	XX
SRR059433	XX
SRR059446	XY
SRR059447	XY
SRR059464	XX
SRR059465	XY
SRR059468	XX
SRR059469	XX
SRR059474	XY
SRR059475	XY
SRR059484	XX
SRR059485	XY
SRR059497	XY
SRR059498	XY
SRR059499	XY
SRR059502	XY
SRR059503	XY
SRR059514	XX
SRR059515	XX
SRR059519	XX
SRR059814	uncertain
SRR059836	XX
SRR059837	XX
SRR059842	XY
SRR059843	XY
SRR059845	XY
SRR059876	XY
SRR059877	XX
SRR059918	XY
SRR059919	XY
SRR059952	XX
SRR059953	XX
SRR059956	XX
SRR059957	XX
SRR059964	XY
SRR059965	XY
SRR059996	XY
SRR059997	uncertain
SRR060000	XX
SRR060001	XX
SRR060003	XX
SRR060004	XX
SRR060005	XX
SRR060006	XX
SRR060021	XX
SRR060025	XX
SRR060026	XX
SRR060027	XX
SRR060028	XX
SRR060039	XY
SRR060041	XYY
SRR060086	XX
SRR060121	XX
SRR060122	XX
SRR060138	XX
SRR060141	XYY
SRR060142	XYY
SRR060155	XX
SRR060156	XX
SRR060366	XX
SRR060367	XX
SRR060382	XX
SRR060383	XX
SRR060384	XX
SRR060385	XX
SRR060390	XYY
SRR060396	XY
SRR060397	XY
SRR060398	uncertain
SRR060399	XY
SRR060400	XX
SRR060401	XX
SRR060402	XX
SRR060403	XX
SRR060406	XX
SRR060407	XX
SRR060414	XY
SRR060415	XY
SRR060420	XX
SRR060421	XX
SRR060424	XX
SRR060425	XX
SRR060428	XX
SRR060429	XX
SRR060432	XX
SRR060433	XX
SRR060436	XX
SRR060437	XX
SRR060438	XX
SRR060439	XX
SRR060447	XY
SRR060456	XX
SRR061044	XX
SRR061116	XX
SRR061123	XX
SRR061126	XX
SRR061128	XX
SRR061140	XX
SRR061144	XX
SRR061145	XX
SRR061160	uncertain
SRR061171	XX
SRR061172	XX
SRR061174	XX
SRR061176	XX
SRR061178	XX
SRR061181	XX
SRR061182	XX
SRR061183	XX
SRR061184	XX
SRR061185	XX
SRR061187	XX
SRR061192	XX
SRR061195	XX
SRR061199	XX
SRR061203	XX
SRR061204	XX
SRR061208	XX
SRR061213	XY
SRR061217	XYY
SRR061222	XX
SRR061228	XX
SRR061231	XX
SRR061232	XX
SRR061234	XX
SRR061235	XX
SRR061239	XX
SRR061240	uncertain
SRR061251	XX
SRR061253	XX
SRR061254	XX
SRR061257	XX
SRR061259	XX
SRR061262	uncertain
SRR061271	XX
SRR061277	XX
SRR061278	XX
SRR061280	XX
SRR061282	XX
SRR061283	XX
SRR061284	XX
SRR061286	XX
SRR061288	XX
SRR061291	XY
SRR061293	XY
SRR061294	XYY
SRR061301	XX
SRR061302	XX
SRR061303	XX
SRR061306	XX
SRR061307	XX
SRR061309	XX
SRR061310	XY
SRR061314	XY
SRR061320	XX
SRR061321	XX
SRR061323	XX
SRR061325	XX
SRR061326	XX
SRR061328	XX
SRR061329	XX
SRR061331	XX
SRR061332	XX
SRR061333	XX
SRR061334	XX
SRR061335	XX
SRR061336	XX
SRR061337	XX
SRR061347	XYY
SRR061348	XYY
SRR061350	XX
SRR061351	XX
SRR061354	XX
SRR061355	XX
SRR061358	XX
SRR061361	XY
SRR061362	uncertain
SRR061363	uncertain
SRR061364	XYY
SRR061365	uncertain
SRR061366	XY
SRR061367	uncertain
SRR061370	XX
SRR061373	XX
SRR061375	XX
SRR061376	XX
SRR061378	XX
SRR061380	XX
SRR061381	XX
SRR061383	XX
SRR061384	XX
SRR061386	XX
SRR061387	XX
SRR061389	XX
SRR061391	uncertain
SRR061392	uncertain
SRR061393	XYY
SRR061394	XYY
SRR061401	XX
SRR061403	XX
SRR061404	XX
SRR061406	XX
SRR061407	XX
SRR061409	XX
SRR061410	XX
SRR061415	XX
SRR061416	XX
SRR061418	XX
SRR061419	XX
SRR061420	XX
SRR061421	XX
SRR061422	XX
SRR061423	XX
SRR061430	XYY
SRR061436	XYY
SRR061448	XY
SRR061452	XX
SRR061453	XX
SRR061455	XX
SRR061456	XX
SRR061462	XYY
SRR061465	XY
SRR061466	uncertain
SRR061469	uncertain
SRR061470	XX
SRR061471	XX
SRR061474	XX
SRR061478	XY
SRR061480	XX
SRR061484	XX
SRR061486	XX
SRR061494	XX
SRR061495	XX
SRR061496	XX
SRR061497	XX
SRR061506	XX
SRR061511	XX
SRR061512	XX
SRR061513	XX
SRR061516	XX
SRR061517	XX
SRR061518	XX
SRR061519	XX
SRR061520	XYY
SRR061521	XYY
SRR061524	XYY
SRR061525	XYY
SRR061527	XYY
SRR061528	XYY
SRR061529	XYY
SRR061530	XX
SRR061533	XX
SRR061535	XX
SRR061539	XX
SRR061541	XX
SRR061542	XX
SRR061544	XX
SRR061546	XX
SRR061555	XX
SRR061556	XX
SRR061562	XX
SRR061565	XX
SRR061566	XX
SRR061567	XX
SRR061569	XX
SRR061575	XY
SRR061576	XYY
SRR061577	XYY
SRR061579	uncertain
SRR061580	uncertain
SRR061582	uncertain
SRR061590	XX
SRR061592	XX
SRR061597	XX
SRR061598	XX
SRR061599	XX
SRR061901	XY
SRR061902	XY
SRR061905	XY
SRR061906	XY
SRR061907	XY
SRR061908	XY
SRR061911	XX
SRR061912	XX
SRR061913	XX
SRR061914	XX
SRR061915	XX
SRR061916	XX
SRR061921	XX
SRR061922	XX
SRR061923	XX
SRR061924	XX
SRR061925	XX
SRR061927	XX
SRR061928	XX
SRR061933	XX
SRR061934	XX
SRR061935	XX
SRR061936	XX
SRR061941	XX
SRR061942	XX
SRR061943	XX
SRR061944	XX
SRR061945	XX
SRR061946	XX
SRR061948	XX
SRR061949	XX
SRR061950	XY
SRR061961	XX
SRR061962	XX
SRR061963	XX
SRR061964	XX
SRR061965	XX
SRR061966	XX
SRR061967	XX
SRR061968	XX
SRR061971	XY
SRR061972	XY
SRR061979	XY
SRR061980	XY
SRR061985	XYY
SRR061986	uncertain
SRR061991	XX
SRR061992	XX
SRR061993	XX
SRR061994	XX
SRR061995	XX
SRR061996	XX
SRR061999	XX
SRR062000	XX
SRR062001	XX
SRR062002	XX
SRR062005	XX
SRR062006	XX
SRR062007	XX
SRR062008	XX
SRR062013	XY
SRR062014	XY
SRR062015	XY
SRR062017	XY
SRR062018	XY
SRR062019	XY
SRR062020	XX
SRR062023	XX
SRR062024	XX
SRR062025	XX
SRR062026	XX
SRR062033	XY
SRR062034	XY
SRR062037	uncertain
SRR062038	XY
SRR062041	XY
SRR062042	XY
SRR062046	XY
SRR062051	XX
SRR062052	XX
SRR062054	XX
SRR062055	XX
SRR062056	XX
SRR062076	XX
SRR062077	XX
SRR062082	XX
SRR062083	XX
SRR062086	XX
SRR062087	XX
SRR062090	XX
SRR062091	XX
SRR062092	XX
SRR062094	XX
SRR062096	XX
SRR062097	XX
SRR062101	XY
SRR062104	XY
SRR062105	XY
SRR062276	XX
SRR062277	XX
SRR062278	XX
SRR062279	XX
SRR062280	XYY
SRR062289	XYY
SRR062290	XX
SRR062291	XX
SRR062293	XX
SRR062294	XX
SRR062295	XX
SRR062296	XX
SRR062298	XX
SRR062299	XX
SRR062301	XX
SRR062302	XX
SRR062303	XX
SRR062317	XYY
SRR062319	XYY
SRR062320	XX
SRR062321	XX
SRR062322	XX
SRR062323	XX
SRR062324	XX
SRR062325	XX
SRR062330	XX
SRR062331	XX
SRR062332	XX
SRR062333	XX
SRR062334	XX
SRR062339	XX
SRR062343	XYY
SRR062350	XX
SRR062351	XX
SRR062352	XX
SRR062353	XX
SRR062354	XX
SRR062355	XX
SRR062356	XX
SRR062357	XX
SRR062358	XX
SRR062359	XX
SRR062361	XX
SRR062362	XX
SRR062363	XX
SRR062366	XX
SRR062367	XX
SRR062368	XX
SRR062371	XY
SRR062372	XY
SRR062379	uncertain
SRR062381	XX
SRR062382	XX
SRR062384	XX
SRR062388	XX
SRR062389	XX
SRR062391	XYY
SRR062392	XYY
SRR062393	XYY
SRR062394	XYY
SRR062400	XX
SRR062402	XX
SRR062403	XX
SRR062404	XX
SRR062405	XX
SRR062406	XX
SRR062407	XX
SRR062409	XX
SRR062410	XX
SRR062415	XX
SRR062416	XX
SRR062417	XX
SRR062420	XX
SRR062421	XX
SRR062424	XX
SRR062425	XX
SRR062430	uncertain
SRR062432	XY
SRR062435	XY
SRR062436	XY
SRR062437	uncertain
SRR062438	XY
SRR062439	XY
SRR062440	XX
SRR062441	XX
SRR062442	XX
SRR062443	XX
SRR062444	XX
SRR062445	XX
SRR062446	XX
SRR062447	XX
SRR062449	XX
SRR062450	XX
SRR062452	XYY
SRR062461	XYY
SRR062462	uncertain
SRR062477	XX
SRR062478	XX
SRR062481	XX
SRR062485	XX
SRR062486	XX
SRR062487	XX
SRR062488	XX
SRR062489	XX
SRR062490	XX
SRR062491	XX
SRR062492	XX
SRR062493	XX
SRR062495	XX
SRR062496	XX
SRR062498	XX
SRR062500	XX
SRR062501	XX
SRR062504	XX
SRR062505	XX
SRR062506	XX
SRR062508	XX
SRR062509	XX
SRR062510	XYY
SRR062512	XYY
SRR062513	XYY
SRR062515	XYY
SRR062516	uncertain
SRR062519	XYY
SRR062521	XX
SRR062522	XX
SRR062523	XX
SRR062526	XX
SRR062528	XX
SRR062529	XX
SRR062533	XYY
SRR062536	XYY
SRR062537	XYY
SRR063464	XX
SRR063465	XX
SRR063466	XX
SRR063467	XX
SRR063468	XX
SRR063469	XX
SRR063471	XX
SRR063488	XYY
SRR063490	XX
SRR063491	XX
SRR063492	XX
SRR063496	XX
SRR063498	XX
SRR063500	XX
SRR063502	XX
SRR063504	XX
SRR063505	XX
SRR063506	XX
SRR063507	XX
