Run	analyte_type	Host_site	host_sex	SCiMS sample ID	Rx	Rx 95% CI	Ry	Ry 95% CI
SRR638790	Anterior_nares	Anterior nares	female	SRR638790	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR514220	Stool	Stool	female	SRR514220	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545257	Anterior_nares	Anterior nares	female	SRR545257	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR569358	Anterior_nares	Anterior nares	female	SRR569358	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531521	Anterior_nares	Anterior nares	male	SRR531521	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR533419	Anterior_nares	Anterior nares	male	SRR533419	inf	(nan, nan)	0.8889	(0.684, 1.094)
SRR541283	R_Retroauricular_crease	Oral cavity	female	SRR541283	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541289	Anterior_nares	Anterior nares	female	SRR541289	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571629	Anterior_nares	Anterior nares	male	SRR1571629	inf	(nan, nan)	0.8	(0.449, 1.151)
SRR1568860	Anterior_nares	Anterior nares	male	SRR1568860	inf	(nan, nan)	0.7143	(0.478, 0.951)
SRR514242	Stool	Stool	female	SRR514242	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537950	Anterior_nares	Anterior nares	female	SRR537950	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532301	R_Retroauricular_crease	Oral cavity	female	SRR532301	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061569	Stool	Stool	male	SRR061569	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532430	Anterior_nares	Anterior nares	female	SRR532430	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1564230	Anterior_nares	Anterior nares	male	SRR1564230	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR539919	R_Retroauricular_crease	Oral cavity	female	SRR539919	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR513830	Stool	Stool	female	SRR513830	0.828	(0.682, 0.974)	0.0	(0.0, 0.0)
SRR059952	Stool	Stool	female	SRR059952	inf	(nan, nan)	0.0	(0.0, 0.0)
