sample	sex_karyotype
ERR1762067	XX
ERR1762068	XX
ERR1762069	XX
ERR1762070	XX
ERR1762071	XX
ERR1762072	XX
ERR1762073	XX
ERR1762074	XX
ERR1762075	XX
ERR1762076	XX
ERR1762077	XX
ERR1762078	XX
ERR1762079	XX
ERR1762080	XX
ERR1762081	XX
ERR1762082	XX
ERR1762091	XX
ERR1762092	XX
ERR1762093	XX
ERR1762094	XX
ERR1762095	XX
ERR1762096	XX
ERR1762097	XX
ERR1762098	XX
ERR1762099	XX
ERR1762100	XX
ERR1762101	XX
ERR1762102	XX
ERR1762103	XX
ERR1762104	XX
ERR1762105	XX
ERR1762106	XX
ERR1762107	XX
ERR1762108	XX
ERR1762109	XX
ERR1762110	XX
ERR1762111	XX
ERR1762112	XX
ERR1762113	XX
ERR1762114	XX
ERR1762115	XX
ERR1762116	XX
ERR1762117	XX
ERR1762118	XX
ERR1762119	XX
ERR1762120	XX
ERR1762121	XX
ERR1762122	XX
ERR1762123	XX
ERR1762124	XX
ERR1762125	XX
ERR1762126	XX
ERR1762127	XX
ERR1762128	XX
ERR1762129	XX
ERR1762130	XX
ERR1762131	X0
ERR1762132	X0
ERR1762133	X0
ERR1762134	X0
ERR1762135	XX
ERR1762136	XX
ERR1762137	XX
ERR1762138	XX
ERR5388651	XY
ERR5388653	XX
ERR5388655	XY
ERR5395694	XX
ERR5395780	XY
ERR5395797	XX
ERR5395816	XY
ERR5395818	XX
ERR5395819	XY
ERR5395820	XX
ERR5396008	XY
ERR5396009	XX
ERR5396010	XY
ERR5396012	XX
ERR5396014	XY
ERR5396015	XX
ERR5396045	XY
ERR5396157	XX
ERR5396612	XY
ERR5396667	XX
ERR5396855	XY
ERR5397583	XX
ERR5407964	XY
ERR5411888	XX
ERR5411937	XX
ERR5411939	XX
ERR5411940	XY
ERR5411941	XX
ERR5411943	XY
ERR5414393	XX
ERR5414702	XY
ERR5414703	XX
ERR5415055	XY
ERR5415061	XX
ERR5415063	XY
ERR5415064	XX
ERR5416045	XY
ERR5416123	XX
ERR5416156	XY
ERR5416157	XX
ERR5416162	XY
ERR5416173	XX
ERR5416174	XY
ERR5416251	XX
ERR5416252	XY
ERR5416253	XX
ERR5416255	XY
