Run	LibrarySource	Organism	Bases	env_biome	env_feature	env_material	host_sex
ERR1762104	METAGENOMIC	mouse gut metagenome	2445522696				female
ERR1762106	METAGENOMIC	mouse gut metagenome	2450618752				female
ERR1762103	METAGENOMIC	mouse gut metagenome	2458835304				female
ERR1762105	METAGENOMIC	mouse gut metagenome	2455152036				female
ERR5416156	METAGENOMIC	Mus musculus	3926822000				male
ERR1762067	METAGENOMIC	mouse gut metagenome	3112260056				female
ERR1762068	METAGENOMIC	mouse gut metagenome	3099707170				female
ERR1762070	METAGENOMIC	mouse gut metagenome	3106662232				female
ERR1762069	METAGENOMIC	mouse gut metagenome	3109222986				female
ERR1762127	METAGENOMIC	mouse gut metagenome	2786029854				female
ERR1762128	METAGENOMIC	mouse gut metagenome	2776801080				female
ERR1762130	METAGENOMIC	mouse gut metagenome	2783119842				female
ERR1762129	METAGENOMIC	mouse gut metagenome	2788339724				female
ERR5416157	METAGENOMIC	Mus musculus	3641968000				female
ERR1762120	METAGENOMIC	mouse gut metagenome	3244273924				female
ERR1762119	METAGENOMIC	mouse gut metagenome	3256698136				female
ERR1762121	METAGENOMIC	mouse gut metagenome	3255966290				female
ERR1762122	METAGENOMIC	mouse gut metagenome	3250927198				female
ERR5396008	METAGENOMIC	Mus musculus	5051372400				male
ERR1762082	METAGENOMIC	mouse gut metagenome	2586674236				female
ERR1762080	METAGENOMIC	mouse gut metagenome	2583942792				female
ERR1762079	METAGENOMIC	mouse gut metagenome	2595101878				female
ERR1762081	METAGENOMIC	mouse gut metagenome	2591774736				female
ERR1762078	METAGENOMIC	mouse gut metagenome	3308393168				female
ERR1762075	METAGENOMIC	mouse gut metagenome	3321010088				female
ERR1762076	METAGENOMIC	mouse gut metagenome	3305665360				female
ERR1762077	METAGENOMIC	mouse gut metagenome	3313365600				female
ERR1762074	METAGENOMIC	mouse gut metagenome	2721662150				female
ERR1762073	METAGENOMIC	mouse gut metagenome	2723154122				female
ERR1762072	METAGENOMIC	mouse gut metagenome	2717832028				female
ERR1762071	METAGENOMIC	mouse gut metagenome	2731281390				female
ERR5416252	METAGENOMIC	Mus musculus	4476105000				male
ERR5395694	METAGENOMIC	Mus musculus	2356714200				female
ERR5395816	METAGENOMIC	Mus musculus	3311719000				male
ERR5388655	METAGENOMIC	Mus musculus	3602265200				male
ERR5416174	METAGENOMIC	Mus musculus	3758809000				male
ERR1762096	METAGENOMIC	mouse gut metagenome	2821878794				female
ERR1762098	METAGENOMIC	mouse gut metagenome	2826825370				female
ERR1762095	METAGENOMIC	mouse gut metagenome	2833697410				female
ERR1762097	METAGENOMIC	mouse gut metagenome	2828563782				female
ERR5415061	METAGENOMIC	Mus musculus	5209450200				female
ERR5396015	METAGENOMIC	Mus musculus	3381831200				female
ERR5416045	METAGENOMIC	Mus musculus	3163104800				male
ERR5396612	METAGENOMIC	Mus musculus	4642431600				male
ERR5416123	METAGENOMIC	Mus musculus	5321442000				female
ERR5388651	METAGENOMIC	Mus musculus	4305897200				male
ERR5396855	METAGENOMIC	Mus musculus	3917260800				male
ERR5416253	METAGENOMIC	Mus musculus	3855582200				female
ERR5395818	METAGENOMIC	Mus musculus	3164029600				female
ERR1762092	METAGENOMIC	mouse gut metagenome	2813460242				female
ERR1762091	METAGENOMIC	mouse gut metagenome	2825468940				female
