Run	Rx	Rx 95% CI	Ry	Ry 95% CI
ERR1762104	0.8671	"(0.852, 0.882)"	0	"(0.0, 0.0)"
ERR1762106	0.8612	"(0.847, 0.875)"	0	"(0.0, 0.0)"
ERR1762103	0.8495	"(0.831, 0.868)"	0	"(0.0, 0.0)"
ERR1762105	0.8366	"(0.819, 0.854)"	0	"(0.0, 0.0)"
ERR5416156	0.4289	"(0.423, 0.435)"	0.0501	"(0.043, 0.057)"
ERR1762067	0.8142	"(0.801, 0.828)"	0.0008	"(0.0, 0.001)"
ERR1762068	0.7879	"(0.777, 0.799)"	0.0011	"(0.0, 0.002)"
ERR1762070	0.7977	"(0.784, 0.811)"	0.0011	"(0.0, 0.002)"
ERR1762069	0.81	"(0.798, 0.822)"	0.0005	"(0.0, 0.001)"
ERR1762127	0.867	"(0.857, 0.877)"	0.0002	"(-0.0, 0.0)"
ERR1762128	0.8671	"(0.856, 0.878)"	0.0004	"(0.0, 0.001)"
ERR1762130	0.8641	"(0.854, 0.874)"	0.0002	"(-0.0, 0.0)"
ERR1762129	0.8749	"(0.865, 0.884)"	0.0002	"(-0.0, 0.0)"
ERR5416157	0.802	"(0.791, 0.813)"	0.0014	"(0.001, 0.002)"
ERR1762120	0.8536	"(0.843, 0.864)"	0.0006	"(0.0, 0.001)"
ERR1762119	0.8434	"(0.833, 0.854)"	0.0005	"(0.0, 0.001)"
ERR1762121	0.8377	"(0.826, 0.849)"	0.0003	"(0.0, 0.0)"
ERR1762122	0.8462	"(0.835, 0.857)"	0.0004	"(0.0, 0.001)"
ERR5396008	0.4367	"(0.432, 0.442)"	0.0437	"(0.04, 0.048)"
ERR1762082	0.8449	"(0.835, 0.854)"	0.0008	"(0.0, 0.001)"
ERR1762080	0.8455	"(0.836, 0.856)"	0.001	"(0.001, 0.002)"
ERR1762079	0.8458	"(0.836, 0.856)"	0.0007	"(0.0, 0.001)"
ERR1762081	0.8413	"(0.831, 0.851)"	0.0008	"(0.0, 0.001)"
ERR1762078	0.8286	"(0.819, 0.839)"	0.0009	"(0.001, 0.001)"
ERR1762075	0.8357	"(0.826, 0.846)"	0.0009	"(0.001, 0.001)"
ERR1762076	0.8339	"(0.824, 0.844)"	0.0006	"(0.0, 0.001)"
ERR1762077	0.8312	"(0.821, 0.841)"	0.0007	"(0.0, 0.001)"
ERR1762074	0.8182	"(0.808, 0.829)"	0.0008	"(0.0, 0.001)"
ERR1762073	0.8235	"(0.813, 0.834)"	0.0008	"(0.0, 0.001)"
ERR1762072	0.8224	"(0.812, 0.833)"	0.0009	"(0.001, 0.001)"
ERR1762071	0.8273	"(0.817, 0.838)"	0.0007	"(0.0, 0.001)"
ERR5416252	0.413	"(0.407, 0.419)"	0.0414	"(0.039, 0.044)"
ERR5395694	0.8246	"(0.814, 0.835)"	0.0003	"(0.0, 0.0)"
ERR5395816	0.4229	"(0.418, 0.427)"	0.0492	"(0.046, 0.052)"
ERR5388655	0.4148	"(0.41, 0.42)"	0.0422	"(0.04, 0.045)"
ERR5416174	0.4142	"(0.409, 0.42)"	0.0454	"(0.043, 0.048)"
ERR1762096	0.8043	"(0.794, 0.814)"	0.0006	"(0.0, 0.001)"
