sample	sex_karyotype
ERR3414571	XY
ERR3414572	XY
ERR3414573	XY
ERR3414574	XY
ERR3414575	XY
ERR3414576	XY
ERR3414577	XY
ERR3414578	XY
ERR3414579	XY
ERR3414580	XY
ERR3414581	XY
ERR3414582	XY
ERR3414583	XY
ERR3414584	XY
ERR3414585	XY
ERR3414586	XY
ERR3414587	XY
ERR3414588	XY
ERR3414589	XY
ERR3414590	XY
ERR3414591	XY
ERR3414592	XY
ERR3414593	XY
ERR3414594	XY
SRR12516174	XY
SRR12516175	XY
SRR12516176	XY
SRR12516177	XY
SRR12516178	XY
SRR12516179	XY
SRR12516180	XY
SRR12516181	XY
SRR12516182	XY
SRR23946404	XY
SRR23946405	XY
SRR23946406	XY
SRR23946407	uncertain
SRR23946408	XY
SRR23946409	XY
SRR23946410	XY
SRR23946411	XY
SRR23946412	XY
SRR23946413	XY
SRR23946414	XY
SRR23946415	uncertain
SRR23946416	XY
SRR23946417	XY
SRR23946418	XY
SRR23946419	XY
SRR23946420	XY
SRR23946421	XY
SRR23946422	XY
SRR23946423	XY
SRR23946424	XY
SRR23946425	XY
SRR23946426	XY
SRR23946427	XY
SRR23946428	XY
SRR23946429	XY
SRR23946430	XY
SRR23946431	XY
SRR23946432	XY
SRR23946433	XY
SRR23946434	XY
SRR23946435	XY
SRR23946436	XY
SRR23946437	XY
SRR23946438	XY
SRR23946439	XY
SRR23946440	XY
SRR23946441	XY
SRR23946442	XY
SRR23946443	XY
SRR23946444	uncertain
SRR23946445	XX
SRR23946446	XY
SRR23946447	XY
SRR23946448	XY
SRR23946449	XY
SRR23946450	XY
SRR23946451	XY
SRR23946452	XY
SRR23946453	XY
SRR23946454	XY
SRR23946455	XY
SRR23946456	XY
SRR23946457	XY
SRR23946458	XY
SRR23946459	XY
SRR23946460	XY
SRR23946461	XY
SRR23946462	XY
SRR23946463	XY
SRR23946464	XY
