Run	host_sex	Host_site	paper	SCiMS_sex	SCiMS_reads_mapped	SCiMS_reads_mapped_to_Z	SCiMS_reads_mapped_to_W	SCiMS_male_post_prob	SCiMS_female_post_prob
ERR3414581	female	cecal/fecal	Glendinning	female	31104	1337	19	0.077	0.923
ERR3414591	male	cecal/fecal	Glendinning	male	125672	9785	0	0.995	0.005
ERR3414592	female	cecal/fecal	Glendinning	uncertain	20922	1047	8	0.319	0.681
ERR3414572	male	cecal/fecal	Glendinning	male	71817	5769	4	0.996	0.004
ERR3414573	male	cecal/fecal	Glendinning	male	245456	20091	0	1.0	0.0
ERR3414571	female	cecal/fecal	Glendinning	male	2369	136	0	0.969	0.031
ERR3414576	female	cecal/fecal	Glendinning	female	38804	1729	46	0.14	0.86
ERR3414574	male	cecal/fecal	Glendinning	uncertain	17084	1362	4	0.626	0.374
ERR3414578	male	cecal/fecal	Glendinning	male	52662	3976	6	0.985	0.015
ERR3414575	female	cecal/fecal	Glendinning	female	112652	4879	126	0.048	0.952
ERR3414583	female	cecal/fecal	Glendinning	female	26413	1337	16	0.006	0.994
ERR3414577	male	cecal/fecal	Glendinning	male	279639	22167	0	0.997	0.003
ERR3414585	female	cecal/fecal	Glendinning	uncertain	268608	11222	263	0.218	0.782
ERR3414579	male	cecal/fecal	Glendinning	male	25532	2027	0	0.996	0.004
ERR3414589	male	cecal/fecal	Glendinning	male	49927	3920	0	0.997	0.003
ERR3414590	male	cecal/fecal	Glendinning	male	47433	3641	0	0.995	0.005
ERR3414580	female	cecal/fecal	Glendinning	female	37550	1542	31	0.192	0.808
ERR3414593	female	cecal/fecal	Glendinning	uncertain	34467	1482	28	0.268	0.732
ERR3414582	female	cecal/fecal	Glendinning	female	24974	1138	30	0.09	0.91
ERR3414584	male	cecal/fecal	Glendinning	uncertain	36002	2715	8	0.513	0.487
ERR3414586	male	cecal/fecal	Glendinning	male	24518	1818	2	0.98	0.02
ERR3414587	male	cecal/fecal	Glendinning	male	16287	1207	0	0.989	0.011
ERR3414588	male	cecal/fecal	Glendinning	male	80722	6282	0	0.997	0.003
ERR3414594	female	cecal/fecal	Glendinning	female	87533	3540	83	0.186	0.814
SRR12516182	male	cecal/fecal	Kang	male	159	6	0	0.987	0.013
SRR12516181	male	cecal/fecal	Kang	male	4936	394	0	0.997	0.003
SRR12516180	male	cecal/fecal	Kang	male	13497	1047	0	0.991	0.009
SRR12516179	male	cecal/fecal	Kang	male	8183	559	0	0.991	0.009
SRR12516178	male	cecal/fecal	Kang	male	126320	9326	0	0.99	0.01
SRR12516177	male	cecal/fecal	Kang	male	1645106	123941	0	0.989	0.011
SRR12516176	male	cecal/fecal	Kang	male	6612	491	0	0.99	0.01
SRR12516175	male	cecal/fecal	Kang	male	6978	555	0	0.996	0.004
SRR12516174	male	cecal/fecal	Kang	male	23848	1714	0	0.99	0.01
SRR23946453	female	cecal/fecal	Rosch	female	142338	5226	113	0.048	0.952
SRR23946439	female	cecal/fecal	Rosch	female	3398	151	2	0.03	0.97
SRR23946427	female	cecal/fecal	Rosch	female	5017	196	6	0.006	0.994
SRR23946444	female	cecal/fecal	Rosch	female	5114	171	2	0.001	0.999
SRR23946445	female	cecal/fecal	Rosch	female	8717	251	8	0.003	0.997
SRR23946450	female	cecal/fecal	Rosch	female	40016	1544	28	0.064	0.936
SRR23946452	female	cecal/fecal	Rosch	female	115901	4715	108	0.17	0.83
SRR23946438	female	cecal/fecal	Rosch	male	2645	180	0	0.996	0.004
SRR23946425	female	cecal/fecal	Rosch	uncertain	32080	1292	27	0.295	0.705
SRR23946426	female	cecal/fecal	Rosch	female	99882	4176	62	0.046	0.954
SRR23946461	female	cecal/fecal	Rosch	uncertain	451	10	0	0.761	0.239
SRR23946464	female	cecal/fecal	Rosch	male	1440	57	0	0.973	0.027
SRR23946430	female	cecal/fecal	Rosch	female	10725	385	10	0.023	0.977
SRR23946431	female	cecal/fecal	Rosch	female	19289	676	16	0.008	0.992
SRR23946449	female	cecal/fecal	Rosch	male	295	8	0	0.9	0.1
SRR23946437	female	cecal/fecal	Rosch	male	378	22	0	0.99	0.01
SRR23946424	female	cecal/fecal	Rosch	female	337001	13389	327	0.143	0.857
SRR23946463	female	cecal/fecal	Rosch	female	105824	3733	89	0.033	0.967
SRR23946460	female	cecal/fecal	Rosch	female	574	16	2	0.0	1.0
SRR23946415	female	cecal/fecal	Rosch	female	2969	96	6	0.0	1.0
SRR23946447	female	cecal/fecal	Rosch	female	6530	246	6	0.148	0.852
SRR23946448	female	cecal/fecal	Rosch	female	17703	644	6	0.127	0.873
SRR23946436	female	cecal/fecal	Rosch	uncertain	3068	156	2	0.411	0.589
SRR23946423	female	cecal/fecal	Rosch	uncertain	2081	105	2	0.622	0.378
SRR23946451	female	cecal/fecal	Rosch	uncertain	1063	48	2	0.594	0.406
