Run	host_sex	Host_site	paper	SCiMS sample ID	Rx	Rx 95% CI	Ry	Ry 95% CI
ERR3414581	female	cecal/fecal	Glendinning	ERR3414581	inf	(nan, nan)	0.014	(0.008, 0.02)
ERR3414591	male	cecal/fecal	Glendinning	ERR3414591	2.3709	(1.516, 3.226)	0.0	(0.0, 0.0)
ERR3414592	female	cecal/fecal	Glendinning	ERR3414592	1.43	(0.858, 2.002)	0.0076	(0.002, 0.013)
ERR3414572	male	cecal/fecal	Glendinning	ERR3414572	inf	(nan, nan)	0.0007	(0.0, 0.001)
ERR3414573	male	cecal/fecal	Glendinning	ERR3414573	4.4985	(2.473, 6.524)	0.0	(0.0, 0.0)
ERR3414571	female	cecal/fecal	Glendinning	ERR3414571	inf	(nan, nan)	0.0	(0.0, 0.0)
ERR3414576	female	cecal/fecal	Glendinning	ERR3414576	2.1734	(0.542, 3.804)	0.0259	(0.019, 0.033)
ERR3414574	male	cecal/fecal	Glendinning	ERR3414574	inf	(nan, nan)	0.0029	(0.0, 0.006)
ERR3414578	male	cecal/fecal	Glendinning	ERR3414578	inf	(nan, nan)	0.0015	(0.0, 0.003)
ERR3414575	female	cecal/fecal	Glendinning	ERR3414575	inf	(nan, nan)	0.0252	(0.021, 0.03)
ERR3414583	female	cecal/fecal	Glendinning	ERR3414583	inf	(nan, nan)	0.0118	(0.006, 0.018)
ERR3414577	male	cecal/fecal	Glendinning	ERR3414577	3.6229	(1.963, 5.282)	0.0	(0.0, 0.0)
ERR3414585	female	cecal/fecal	Glendinning	ERR3414585	1.753	(0.922, 2.584)	0.0229	(0.02, 0.026)
ERR3414579	male	cecal/fecal	Glendinning	ERR3414579	inf	(nan, nan)	0.0	(0.0, 0.0)
ERR3414589	male	cecal/fecal	Glendinning	ERR3414589	inf	(nan, nan)	0.0	(0.0, 0.0)
ERR3414590	male	cecal/fecal	Glendinning	ERR3414590	4.2648	(1.832, 6.698)	0.0	(0.0, 0.0)
ERR3414580	female	cecal/fecal	Glendinning	ERR3414580	inf	(nan, nan)	0.0197	(0.013, 0.027)
ERR3414593	female	cecal/fecal	Glendinning	ERR3414593	inf	(nan, nan)	0.0185	(0.012, 0.025)
