library_id	project_id	sample_id	BioprojectID	PubmedID	project_name	creation_date	seq_platform	sequence_count	basepairs_count	sample_altitude	collection_date	sample_latitude	sample_longitude	sample_location_country	sample_depth	sample_elevation	sample_location_ocean_sea	sample_pH	sample_temperature	aamdb_host_last_meal	aamdb_host_diet	aamdb_host_strain	aamdb_host_body_temp	aamdb_host_breed	aamdb_host_dev_stage	aamdb_diagnosis	aamdb_diagnosis_subclass1	aamdb_scientific_name	aamdb_host_common_name	aamdb_host_life_stage	aamdb_host_age	aamdb_host_sex	aamdb_sample_site_1	aamdb_sample_site_2	aamdb_sample_site_3	aamdb_sample_site_4	quality_above_30_SRA	mean_quality_SRA	drisee_score_raw_MGRAST	source_database	kingdom	phylum	class	order	family	genus	average_length	assembled
SRR1747018	SRX834619	SRS812628	"417,962,348,753"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	51296086	10156625028	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	10.1	male	gut	feces	NA	NA	93	35.7	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747019	SRX834620	SRS812629	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	14057471	2811494200	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	11.66	male	gut	feces	NA	NA	93	35.89	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747020	SRX834621	SRS812630	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	15836164	3167232800	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	13.27	male	gut	feces	NA	NA	93	35.9	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747021	SRX834622	SRS812631	"417,962,348,753"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	46801714	9360342800	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	8.69	male	gut	feces	NA	NA	93	35.79	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747022	SRX834623	SRS812632	"417,962,348,753"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	22060923	4412184600	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	12.85	male	gut	feces	NA	NA	92	35.6	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747023	SRX834624	SRS812633	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	9656069	1931213800	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	4.82	female	gut	feces	NA	NA	92	35.76	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747024	SRX834625	SRS812634	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	21109752	4221950400	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	8.26	female	gut	feces	NA	NA	90	34.97	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747025	SRX834626	SRS812635	"417,962,348,753"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	13170954	2607848892	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	6.4	female	gut	feces	NA	NA	93	35.82	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747026	SRX834627	SRS812636	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	9350256	1870051200	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	9.3	female	gut	feces	NA	NA	92	35.57	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747027	SRX834628	SRS812637	"348,753,271,618"	28894102	Baboon feces Metagenome	2/27/15	ILLUMINA	9287963	1839016674	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	6.4	female	gut	feces	NA	NA	93	35.95	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
