Experiment_ID	Run	Experiment_Title	Organism_Name	Instrument	Submitter	Study_Accession	Project_Title	Sample_Accession	Sample_Title	Total_Size(Mb)	Total_RUNs	Total_Spots	Total_Bases	Sample_Name	Library_Strategy	Library_Source	Library_Selection	Project_ID	Sample_ID	DNA extraction method	Sample ID__	Sample_site1	Sample_site2	Sex	Age	Creation_date	Collection_date	Geographic_location	Latitude	Longitude	PubMed_ID	Condition	Pheotype	Breed	Source_database	Project_description	Sample_number	Lianjie(Project_ID)	Species	Lianjie(PubMed_ID)	Lianjie(Project_Title)	Lianjie(Experiment_ID)	Study_purpose	Genus	Family	Order	Class	Sample_type
SRX5676512	SRR8890819	Metagenomic fecal sample of black rhino R04	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618135	Model organism or animal sample from Diceros bicornis	1740.71	1	14775511	4211559346	R04	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407853	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407853	Gut	Feces	Female	NA	4/12/19	6/19/15	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890819	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676511	SRR8890820	Metagenomic fecal sample of black rhino R03	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618134	Model organism or animal sample from Diceros bicornis	1356.55	1	11090304	3250287892	R03	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407852	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407852	Gut	Feces	Male	NA	4/12/19	NA	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890820	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676510	SRR8890821	Metagenomic fecal sample of black rhino R02	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618133	Model organism or animal sample from Diceros bicornis	2312.52	1	18876752	5553638436	R02	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407851	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407851	Gut	Feces	Female	NA	4/12/19	6/19/15	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890821	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676509	SRR8890822	Metagenomic fecal sample of black rhino R01	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618132	Model organism or animal sample from Diceros bicornis	1288.57	1	18782851	3087487847	R01	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407850	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407850	Gut	Feces	Male	NA	4/12/19	6/19/15	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890822	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676508	SRR8890823	Metagenomic fecal sample of black rhino R08	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618131	Model organism or animal sample from Diceros bicornis	1276.61	1	10459479	3049340855	R08	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407857	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407857	Gut	Feces	Female	NA	4/12/19	6/8/15	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890823	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676507	SRR8890824	Metagenomic fecal sample of black rhino R07	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618130	Model organism or animal sample from Diceros bicornis	1232.5	1	10587359	3005298624	R07	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407856	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407856	Gut	Feces	Female	NA	4/12/19	NA	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890824	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676506	SRR8890825	Metagenomic fecal sample of black rhino R06	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618129	Model organism or animal sample from Diceros bicornis	1240.9	1	10070373	2954678817	R06	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407855	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407855	Gut	Feces	Male	NA	4/12/19	6/19/15	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890825	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676505	SRR8890826	Metagenomic fecal sample of black rhino R05	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618128	Model organism or animal sample from Diceros bicornis	928.65	1	7734545	2243960815	R05	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407854	QIAamp PowerFecal DNA Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407854	Gut	Feces	Female	NA	4/12/19	NA	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890826	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676504	SRR8890827	Metagenomic fecal sample of black rhino R12	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618127	Model organism or animal sample from Diceros bicornis	889.28	1	8135237	2197701867	R12	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407859	Zymo BIOMICS DNA Miniprep Extraction Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407859	Gut	Feces	Male	NA	4/12/19	4/15/15	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890827	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
SRX5676503	SRR8890828	Metagenomic fecal sample of black rhino R11	Diceros bicornis	NextSeq 500	George Washington University	SRP192412	Gut microbiome differences between wild and captive black rhinoceros _?implications for rhino health	SRS4618126	Model organism or animal sample from Diceros bicornis	1429.26	1	12086664	3459415448	R11	WGS	METAGENOMIC	RANDOM	PRJNA532626	SAMN11407858	Zymo BIOMICS DNA Miniprep Extraction Kit	https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN11407858	Gut	Feces	Male	NA	4/12/19	4/15/15	South Africa	-25.44	28.12	31138833	NA	NA	Diceros bicornis	SRA	We focus on the black rhinoceros as captive animals suffer from a number of potentially dietary related health effects. We compared gut microbiomes of wild and captive black rhinos to test for differences in taxonomic diversity (alpha and beta) and in functional diversity of the microbiota.	25	https://www.ncbi.nlm.nih.gov/bioproject/532626	Diceros bicornis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6538756/	https://www.ebi.ac.uk/ena/browser/view/PRJNA532626	https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR8890828	Production traits-Metabolism	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	Wild sample
