Run	Assay Type	BioProject	BioSample	Center Name	Consent	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	Experiment	external_id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Sample_name	SRA Study	Submitter_Id	DATASTORE filetype	DATASTORE provider	DATASTORE region	AvgSpotLen	Bases	Bytes	Collection_Date	ena_first_public	ena_last_update	environment_(biome)	environment_(feature)	environment_(material)	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_(country_and/or_sea)	geographic_location_(latitude)	geographic_location_(longitude)	Host_age	host-associated_environmental_package	host_body_habitat	host_body_product	host_body_site	host_common_name	host_sex	host_taxid	Investigation_type	project_name	create_date	version	Scientific_Name	Sequencing_method	subspecific_genetic_lineage	ENA_first_public	ena_last_update.1	INSDC_center_alias	common_name
ERR3275110	WGS	PRJEB31266	SAMEA5383955	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301983	SAMEA5383955	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	public	Illumina HiSeq 4000	10677_0022	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383955	10677_0022	ERP113798	10677_0022	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	43428910800	19524468690	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	603 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:04:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275111	WGS	PRJEB31266	SAMEA5383956	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301984	SAMEA5383956	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0023	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383956	10677_0023	ERP113798	10677_0023	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	42159402900	18822258374	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	636 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T12:59:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275112	WGS	PRJEB31266	SAMEA5383958	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301985	SAMEA5383958	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	public	Illumina HiSeq 4000	10677_0025	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383958	10677_0025	ERP113798	10677_0025	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	41060454300	18273901743	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	621 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:01:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275113	WGS	PRJEB31266	SAMEA5383960	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301986	SAMEA5383960	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	public	Illumina HiSeq 4000	10677_0027	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383960	10677_0027	ERP113798	10677_0027	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	39600299400	17820462862	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	598 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:04:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275114	WGS	PRJEB31266	SAMEA5383961	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301987	SAMEA5383961	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0028	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383961	10677_0028	ERP113798	10677_0028	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	42320128800	19051441494	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	584 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:25:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275115	WGS	PRJEB31266	SAMEA5383962	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301988	SAMEA5383962	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	public	Illumina HiSeq 4000	10677_0029	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383962	10677_0029	ERP113798	10677_0029	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	36197434800	16226733214	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	633 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T12:59:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275116	WGS	PRJEB31266	SAMEA5383963	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301989	SAMEA5383963	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0030	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383963	10677_0030	ERP113798	10677_0030	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	36194404200	16264863213	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	624 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:17:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275117	WGS	PRJEB31266	SAMEA5383966	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301990	SAMEA5383966	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0033	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383966	10677_0033	ERP113798	10677_0033	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	37513830600	16771576397	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	594 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:24:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275118	WGS	PRJEB31266	SAMEA5383967	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301991	SAMEA5383967	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0034	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383967	10677_0034	ERP113798	10677_0034	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	39276021600	17640299733	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	594 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:43:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275119	WGS	PRJEB31266	SAMEA5383968	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3301992	SAMEA5383968	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	public	Illumina HiSeq 4000	10677_0035	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383968	10677_0035	ERP113798	10677_0035	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	38536816800	17378516496	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	636 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T13:41:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
