Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	Sex	specimen_weight	SRA Study	Units_of_specimen_weight
SRR28863744	WGS	294	2309236597	PRJNA1106546	SAMN41141419	Metagenome or environmental	757260317	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423533	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.10	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:09:00Z	1	Feces metagenome of male Sceloporus grammicus individual 10	male	5.9	SRP505188	grams
SRR28863745	WGS	293	2141896137	PRJNA1106546	SAMN41141418	Metagenome or environmental	703122047	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423532	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.9	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:09:00Z	1	Feces metagenome of male Sceloporus grammicus individual 9	male	5.8	SRP505188	grams
SRR28863746	WGS	293	1875292309	PRJNA1106546	SAMN41141416	Metagenome or environmental	613020511	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423530	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.7	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:09:00Z	1	Feces metagenome of male Sceloporus grammicus individual 7	male	5.4	SRP505188	grams
SRR28863747	WGS	293	1990360510	PRJNA1106546	SAMN41141415	Metagenome or environmental	650510416	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423529	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.6	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:10:00Z	1	Feces metagenome of male Sceloporus grammicus individual 6	male	3.8	SRP505188	grams
SRR28863748	WGS	282	2968564089	PRJNA1106546	SAMN41141414	Metagenome or environmental	965196062	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423528	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.5	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:11:00Z	1	Feces metagenome of male Sceloporus grammicus individual 5	male	6.3	SRP505188	grams
SRR28863749	WGS	290	2110766580	PRJNA1106546	SAMN41141417	Metagenome or environmental	687736803	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423531	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.8	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:11:00Z	1	Feces metagenome of male Sceloporus grammicus individual 8	male	5.1	SRP505188	grams
SRR28863750	WGS	283	2568929975	PRJNA1106546	SAMN41141413	Metagenome or environmental	845579020	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423527	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.4	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:11:00Z	1	Feces metagenome of male Sceloporus grammicus individual 4	male	9.9	SRP505188	grams
SRR28863751	WGS	286	3130117117	PRJNA1106546	SAMN41141412	Metagenome or environmental	1014749043	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423526	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	feces	19.2276 N 97.9123 W	Sg.M.H.3	PAIRED	RANDOM PCR	METAGENOMIC	feces metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:09:00Z	1	Feces metagenome of male Sceloporus grammicus individual 3	male	7.3	SRP505188	grams
SRR28863752	WGS	294	3228381718	PRJNA1106546	SAMN41141429	Metagenome or environmental	1081703631	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423525	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	cloaca	19.2276 N 97.9123 W	Sg.M.HC.10	PAIRED	RANDOM PCR	METAGENOMIC	gut metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:10:00Z	1	Cloacal metagenome of male Sceloporus grammicus individual 10	male	5.9	SRP505188	grams
SRR28863753	WGS	294	2886812411	PRJNA1106546	SAMN41141428	Metagenome or environmental	958297174	UNIVERSIDAD AUTONOMA DE TLAXCALA	2020-10	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	SRX24423524	Mexico	North America	"Mexico: Tlaxcala\, Ixtenco"	Sceloporus grammicus	Illumina NovaSeq 6000	cloaca	19.2276 N 97.9123 W	Sg.M.HC.9	PAIRED	RANDOM PCR	METAGENOMIC	gut metagenome	ILLUMINA	2024-05-07T00:00:00Z	2024-05-01T15:10:00Z	1	Cloacal metagenome of male Sceloporus grammicus individual 9	male	5.8	SRP505188	grams
