Experiment_ID	Experiment_Title	Organism_Name	Instrument	Submitter	Study_Accession	Project_Title	Sample_Accession	Sample_Title	Total_Size(Mb)	Total_RUNs	Total_Spots	Total_Bases	Sample_Name	Library_Strategy	Library_Source	Library_Selection	Project_ID	Sample_ID	DNA extraction method	Sample ID__	Sample_site1	Sample_site2	host_sex	Age	Creation_date	Collection_date	Geographic_location	Latitude	Longitude	PubMed_ID	Condition	Pheotype	Breed	Source_database	Project_description	Sample_number	Lianjie(Project_ID)	Species	Lianjie(PubMed_ID)	Lianjie(Project_Title)	Run	Study_purpose
SRX10721754	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812152	MIMS Environmental/Metagenome sample from pig gut metagenome	2401.47	1	15512447	7787248394	H1P910W28FD035	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899771		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899771	Gut	Feces	Female	2.3	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369221	Life history traits-Weaning
SRX10721791	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812189	MIMS Environmental/Metagenome sample from pig gut metagenome	1456.67	1	9432808	4735269616	H1P307W28FD070	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899644		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899644	Gut	Feces	Male	1.2	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369184	Life history traits-Weaning
SRX10721806	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812204	MIMS Environmental/Metagenome sample from pig gut metagenome	1923.41	1	12532068	6291098136	H1P313W28FD070	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899658		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899658	Gut	Feces	Female	0.5	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369169	Life history traits-Weaning
SRX10721760	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812158	MIMS Environmental/Metagenome sample from pig gut metagenome	2358.01	1	15225239	7643069978	H1P911W28FD035	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899777		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899777	Gut	Feces	Female	2.3	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369215	Life history traits-Weaning
SRX10721739	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812137	MIMS Environmental/Metagenome sample from pig gut metagenome	3393.8	1	21985722	11036832444	H1P703W28FD035	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899758		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899758	Gut	Feces	Male	0.9	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369236	Life history traits-Weaning
SRX10721821	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812219	MIMS Environmental/Metagenome sample from pig gut metagenome	1431.54	1	9157283	4596956066	H1P404W21FD070	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899671		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899671	Gut	Feces	Male	0.9	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369154	Life history traits-Weaning
SRX10721839	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812237	MIMS Environmental/Metagenome sample from pig gut metagenome	2621.57	1	16559735	8312986970	H1P409W14FD028	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899688		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899688	Gut	Feces	Female	0.5	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369136	Life history traits-Weaning
SRX10721797	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812195	MIMS Environmental/Metagenome sample from pig gut metagenome	2861.18	1	18170881	9121782262	H1P312W14FD035	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899650		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899650	Gut	Feces	Female	1.2	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369178	Life history traits-Weaning
SRX10721780	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812178	MIMS Environmental/Metagenome sample from pig gut metagenome	1693.44	1	10806646	5424936292	H1P306W14FD021	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899634		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899634	Gut	Feces	Male	4.7	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369195	Life history traits-Weaning
SRX10721840	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812238	MIMS Environmental/Metagenome sample from pig gut metagenome	2120.06	1	13447230	6750509460	H1P409W14FD035	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899689		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899689	Gut	Feces	Female	0.9	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369135	Life history traits-Weaning
SRX10721827	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812225	MIMS Environmental/Metagenome sample from pig gut metagenome	2356.37	1	14986650	7523298300	H1P406W28FD035	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899677		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899677	Gut	Feces	Female	0.7	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369148	Life history traits-Weaning
SRX10721733	Fecal metagenome of pigs weaned at different ages	pig gut metagenome	Illumina NovaSeq 6000	Agriculture and Agri-Food Canada	SRP262165	Weaning Piglet Gut Microbiome	SRS8812131	MIMS Environmental/Metagenome sample from pig gut metagenome	2046.38	1	12986398	6519171796	H1P608W14FD070	WGS	METAGENOMIC	RANDOM	PRJNA629856	SAMN17899752		https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN17899752	Gut	Feces	Female	1.2	5/1/20	1/1/19	Canada	52.46	-113.73	34812652				SRA	The effect of weaning age on the piglet gut microbiome was evaluated by collecting fecal swabs from piglets and sows. Piglets were weaned at 14 days, 21 days or 28 days and fecal swabs were collected from day four until the pigs reached market weight.	1015	https://www.ncbi.nlm.nih.gov/bioproject/629856	Pig	https://pubmed.ncbi.nlm.nih.gov/34812652/	https://www.ebi.ac.uk/ena/browser/view/PRJNA629856	SRR14369242	Life history traits-Weaning
