Run	actual_sex
S1F200	female
S1F250	female
S1F300	female
S1F350	female
S1F400	female
S1F450	female
S1F1000	female
S1F5000	female
S1F10000	female
S1F100000	female
S1F1000000	female
S1M150	male
S1M200	male
S1M250	male
S1M300	male
S1M350	male
S1M400	male
S1M450	male
S1M1000	male
S1M5000	male
S1M10000	male
S1M100000	male
S1M1000000	male
S2F150	female
S2F200	female
S2F250	female
S2F300	female
S2F350	female
S2F400	female
S2F450	female
S2F1000	female
S2F5000	female
S2F10000	female
S2F100000	female
S2F1000000	female
S2M150	male
S2M200	male
S2M250	male
S2M300	male
S2M350	male
S2M400	male
S2M450	male
S2M1000	male
S2M5000	male
S2M10000	male
S2M100000	male
S2M1000000	male
S3F150	female
S3F200	female
S3F250	female
S3F300	female
S3F350	female
S3F400	female
S3F450	female
S3F1000	female
S3F5000	female
S3F10000	female
S3F100000	female
S3F1000000	female
S3M150	male
S3M200	male
S3M250	male
S3M300	male
S3M350	male
S3M400	male
S3M450	male
S3M1000	male
S3M5000	male
S3M10000	male
S3M100000	male
S3M1000000	male
S4F150	female
S4F200	female
S4F250	female
S4F300	female
S4F350	female
S4F400	female
S4F450	female
S4F1000	female
S4F5000	female
S4F10000	female
S4F100000	female
S4F1000000	female
S4M150	male
S4M200	male
S4M250	male
S4M300	male
S4M350	male
S4M400	male
S4M450	male
S4M1000	male
S4M5000	male
S4M10000	male
S4M100000	male
S4M1000000	male
S5F150	female
S5F200	female
S5F250	female
S5F300	female
S5F350	female
S5F400	female
S5F450	female
S5F1000	female
S5F5000	female
S5F10000	female
S5F100000	female
S5F1000000	female
S5M150	male
S5M200	male
S5M250	male
S5M300	male
S5M350	male
S5M400	male
S5M450	male
S5M1000	male
S5M5000	male
S5M10000	male
S5M100000	male
S5M1000000	male
S6F150	female
S6F200	female
S6F250	female
S6F300	female
S6F350	female
S6F400	female
S6F450	female
S6F1000	female
S6F5000	female
S6F10000	female
S6F100000	female
S6F1000000	female
S6M150	male
S6M200	male
S6M250	male
S6M300	male
S6M350	male
S6M400	male
S6M450	male
S6M1000	male
S6M5000	male
S6M10000	male
S6M100000	male
S6M1000000	male
S7F150	female
S7F200	female
S7F250	female
S7F300	female
S7F350	female
S7F400	female
S7F450	female
S7F1000	female
S7F5000	female
S7F10000	female
S7F100000	female
S7F1000000	female
S7M150	male
S7M200	male
S7M250	male
S7M300	male
S7M350	male
S7M400	male
S7M450	male
S7M1000	male
S7M5000	male
S7M10000	male
S7M100000	male
S7M1000000	male
S8F150	female
S8F200	female
S8F250	female
S8F300	female
S8F350	female
S8F400	female
S8F450	female
S8F1000	female
S8F5000	female
S8F10000	female
S8F100000	female
S8F1000000	female
S8M150	male
S8M200	male
S8M250	male
S8M300	male
S8M350	male
S8M400	male
S8M450	male
S8M1000	male
S8M5000	male
S8M10000	male
S8M100000	male
S8M1000000	male
S9F150	female
S9F200	female
S9F250	female
S9F300	female
S9F350	female
S9F400	female
S9F450	female
S9F1000	female
S9F5000	female
S9F10000	female
S9F100000	female
S9F1000000	female
S9M150	male
S9M200	male
S9M250	male
S9M300	male
S9M350	male
S9M400	male
S9M450	male
S9M1000	male
S9M5000	male
S9M10000	male
S9M100000	male
S9M1000000	male
S10F150	female
S10F200	female
S10F250	female
S10F300	female
S10F350	female
S10F400	female
S10F450	female
S10F1000	female
S10F5000	female
S10F10000	female
S10F100000	female
S10F1000000	female
S10M150	male
S10M200	male
S10M250	male
S10M300	male
S10M350	male
S10M400	male
S10M450	male
S10M1000	male
S10M5000	male
S10M10000	male
S10M100000	male
S10M1000000	male
S11F150	female
S11F200	female
S11F250	female
S11F300	female
S11F350	female
S11F400	female
S11F450	female
S11F1000	female
S11F5000	female
S11F10000	female
S11F100000	female
S11F1000000	female
S11M150	male
S11M200	male
S11M250	male
S11M300	male
S11M350	male
S11M400	male
S11M450	male
S11M1000	male
S11M5000	male
S11M10000	male
S11M100000	male
S11M1000000	male
S12F150	female
S12F200	female
S12F250	female
S12F300	female
S12F350	female
S12F400	female
S12F450	female
S12F1000	female
S12F5000	female
S12F10000	female
S12F100000	female
S12F1000000	female
S12M150	male
S12M200	male
S12M250	male
S12M300	male
S12M350	male
S12M400	male
S12M450	male
S12M1000	male
S12M5000	male
S12M10000	male
S12M100000	male
S12M1000000	male
S13F150	female
S13F200	female
S13F250	female
S13F300	female
S13F350	female
S13F400	female
S13F450	female
S13F1000	female
S13F5000	female
S13F10000	female
S13F100000	female
S13F1000000	female
S13M150	male
S13M200	male
S13M250	male
S13M300	male
S13M350	male
S13M400	male
S13M450	male
S13M1000	male
S13M5000	male
S13M10000	male
S13M100000	male
S13M1000000	male
S14F150	female
S14F200	female
S14F250	female
S14F300	female
S14F350	female
S14F400	female
